Lugar,Hora,Fecha,Indice UV,Algo,Humedad,Nubosidad,Viento-Medio,Presion,Visibilidad,Sensacion Termica,Punto de rocio,Niebla,Viento_racha,Cota Nieve,Viento_Medio,DirViento
Vitoria-Gasteiz,21/04/20,19:44:56,0,0,95%,10,,1014,5,8,8,0,23,2700,9,Noroeste
Yécora,21/04/20,19:45:01,0,0,92%,99,,1014,6,6,7,0,31,2500,12,Oeste
Zurbano,21/04/20,19:45:04,0,0,96%,10,,1014,4,8,9,0,23,2700,9,Noroeste
Albacete,21/04/20,19:45:08,0,0,90%,99,,1011,3,7,8,0,39,2300,19,Noroeste
Tus,21/04/20,19:45:12,0,0,94%,10,,1012,2,7,8,0,55,2300,14,Oeste
Monte-Aragón,21/04/20,19:45:17,0,0,93%,10,,1011,3,5,7,0,44,2200,21,Noroeste
Cubas,21/04/20,19:45:20,0,0,85%,10,,1010,4,8,7,0,36,2200,18,Noroeste
Escorial,21/04/20,19:45:25,0,0,99%,10,,1013,1,2,6,0,46,2200,20,Oeste
Madroño,21/04/20,19:45:28,0,0,92%,10,,1011,3,5,7,0,48,2200,22,Noroeste
Pardal,21/04/20,19:45:31,0,0,92%,10,,1011,3,5,6,0,50,2300,19,Oeste
Sabina,21/04/20,19:45:34,0,0,94%,99,,1012,4,3,5,0,52,2200,21,Oeste
Gineta,21/04/20,19:45:38,0,0,88%,99,,1011,4,7,8,0,39,2400,21,Noroeste
Ruidera,21/04/20,19:45:41,0,0,93%,70,,1013,12,7,8,0,30,2300,14,Noroeste
Masegoso,21/04/20,19:45:45,0,0,97%,10,,1012,4,4,7,0,45,2200,21,Noroeste
Minaya,21/04/20,19:45:48,0,0,92%,84,,1012,14,7,8,0,33,2400,17,Noroeste
Cañada,21/04/20,19:45:51,0,0,92%,99,,1011,2,5,7,0,47,2200,24,Noroeste
Mancha,21/04/20,19:45:54,0,0,85%,99,,1011,5,7,7,0,38,2400,21,Noroeste
Tobarra,21/04/20,19:46:05,0,0,81%,97,,1010,4,10,7,0,48,2300,25,Noroeste
Viveros,21/04/20,19:46:09,0,0,95%,94,,1013,9,5,7,0,34,2200,16,Noroeste
Alcoy,21/04/20,19:46:12,0,0,91%,10,,1008,2,10,9,0,46,2200,18,Noroeste
Alcudia,21/04/20,19:46:17,0,0,91%,10,,1008,2,11,9,0,40,2200,13,Noroeste
Alicante,21/04/20,19:46:20,0,0,69%,98,,1007,20,16,10,0,24,2300,15,Oeste
Benidorm,21/04/20,19:46:25,0,0,75%,98,,1007,8,16,11,0,25,2300,6,Oeste
Calpe,21/04/20,19:46:28,0,0,79%,10,,1007,4,15,11,0,27,2300,8,Noroeste
Sol,21/04/20,19:46:33,0,0,80%,97,,1007,4,14,10,0,30,2300,17,Noroeste
Alacant,21/04/20,19:46:36,0,0,71%,97,,1007,20,15,10,0,27,2300,19,Oeste
Jalón,21/04/20,19:46:39,0,0,82%,10,,1007,3,13,10,0,37,2300,14,Noroeste
Jávea,21/04/20,19:46:43,0,0,79%,98,,1007,3,14,11,0,33,2200,21,Noroeste
Jijona,21/04/20,19:46:47,0,0,80%,93,,1007,7,12,8,0,40,2500,14,Noroeste
Marina,21/04/20,19:46:51,0,0,69%,97,,1008,16,15,10,0,30,2300,18,Oeste
Filipinas,21/04/20,19:46:54,0,0,69%,98,,1008,10,15,9,0,38,2300,20,Oeste
Monóvar,21/04/20,19:46:58,0,0,77%,86,,1008,10,12,8,0,51,2500,24,Noroeste
Pinoso,21/04/20,19:47:01,0,0,82%,90,,1009,10,11,8,0,58,2300,24,Noroeste
Raspeig,21/04/20,19:47:06,0,0,70%,97,,1007,16,14,9,0,24,2400,13,Noroeste
Torrevieja,21/04/20,19:47:09,0,0,71%,99,,1008,9,16,10,0,36,2300,22,Oeste
Albox,21/04/20,19:47:13,0,0,63%,72,,1010,20,13,6,0,63,2800,29,Oeste
Almería,21/04/20,19:47:17,0,0,71%,70,,1010,25,10,5,0,28,2800,4,Oeste
Almería,21/04/20,19:47:21,0,0,69%,66,,1010,25,15,9,0,20,2700,8,Noroeste
Bédar,21/04/20,19:47:26,0,0,62%,87,,1010,25,12,5,0,31,2600,8,Oeste
Gata,21/04/20,19:47:29,0,0,79%,56,,1010,20,15,12,0,33,2600,18,Oeste
Ejido,21/04/20,19:47:35,0,0,78%,54,,1010,25,13,9,0,21,2800,6,Noroeste
Huércal-Overa,21/04/20,19:47:38,0,0,60%,84,,1009,25,14,7,0,41,2700,17,Noroeste
Canalejas,21/04/20,19:47:41,0,0,67%,82,,1009,25,14,8,0,22,2600,7,Oeste
Castaños,21/04/20,19:47:46,0,0,67%,81,,1010,20,12,6,0,27,2600,7,Oeste
Nacimiento,21/04/20,19:56:37,0,0,69%,63,,1011,20,11,6,0,60,3000,12,Noroeste
Níjar,21/04/20,19:56:42,0,0,66%,70,,1010,20,12,6,0,26,2700,9,Oeste
Bertamiráns,23/04/20,11:46:44,4,6-10,54%,2%,,1016,35,20,11,0,18,3200,5,Oeste
Arzúa,23/04/20,11:47:23,4,6-10,63%,2%,,1016,35,18,11,0,25,3200,10,Oeste
Bertamiráns,23/04/20,11:47:25,4,6-10,54%,2%,,1016,35,20,11,0,18,3200,5,Oeste
Cascais,23/04/20,11:47:28,4,6-10,69%,19,,1017,30,16,10,0,23,3300,9,Noroeste
Corrubedo,23/04/20,11:47:31,4,6-10,74%,0%,,1017,30,15,10,0,40,3200,26,Noroeste
Coruña,23/04/20,11:47:34,4,6-10,79%,43,,1018,30,14,11,0,24,3300,13,Noroeste
Ferrol,23/04/20,11:47:37,4,6-10,75%,29,,1018,30,15,11,0,26,3300,11,Noroeste
Lira,23/04/20,11:47:39,4,6-10,75%,0%,,1017,30,15,11,0,36,3300,24,Noroeste
Lousame,23/04/20,11:47:42,4,6-10,64%,4%,,1017,30,19,12,0,23,3300,8,Oeste
